protID	geneID	protName	capUsage	absUsage	UB
A0A1L7LMC3	KLMA_90012	KLMA_90012	0.997	3.32e-05	3.33e-05
W0T294	KLMA_10065	KLMA_10065	1	1.72e-06	1.72e-06
W0T2B8	KLMA_10090	KLMA_10090	0	0	2.6e-06
W0T2F2	KLMA_10125	KLMA_10125	0	0	5.72e-07
W0T2K0	KLMA_10018	KLMA_10018	0	0	Inf
W0T2P5	KLMA_10220	KLMA_10220	1	3.64e-06	3.64e-06
W0T2R0	KLMA_10078	KLMA_10078	0	0	5.78e-08
W0T2S9	KLMA_10260	KLMA_10260	0	0	8.21e-07
W0T2U3	KLMA_10108	KLMA_10108	0	0	1.02e-07
W0T2W9	KLMA_10305	KLMA_10305	0	0	2.83e-07
W0T2Z0	KLMA_10153	KLMA_10153	0	0	8.21e-07
W0T302	KLMA_10163	KLMA_10163	0	0	1.72e-07
W0T342	KLMA_10390	KLMA_10390	0.997	4.93e-05	4.95e-05
W0T382	KLMA_10435	KLMA_10435	0	0	1.53e-06
W0T3A2	KLMA_10243	KLMA_10243	0	0	8.99e-07
W0T3B0	KLMA_10253	KLMA_10253	0.522	3.54e-06	6.79e-06
W0T3E2	KLMA_10505	KLMA_10505	1	3.85e-06	3.85e-06
W0T3G4	KLMA_10313	KLMA_10313	0.996	2.31e-05	2.32e-05
W0T3H5	KLMA_10540	KLMA_10540	0.0865	1.95e-06	2.26e-05
W0T3I1	KLMA_10545	KLMA_10545	0	0	Inf
W0T3K1	KLMA_10353	KLMA_10353	0	0	5.66e-06
W0T3M6	KLMA_10383	KLMA_10383	0	0	7.03e-08
W0T3N4	KLMA_10036	KLMA_10036	0.000458	5.78e-11	1.26e-07
W0T3P9	KLMA_10051	KLMA_10051	0.986	2.67e-05	2.71e-05
W0T3S7	KLMA_10433	KLMA_10433	0.00198	6.08e-09	3.07e-06
W0T3V0	KLMA_10655	KLMA_10655	0	0	1.09e-07
W0T3V9	KLMA_10468	KLMA_10468	0.291	8.98e-06	3.08e-05
W0T3X2	KLMA_10483	KLMA_10483	0	0	6.99e-06
W0T3X7	KLMA_10126	KLMA_10126	0.0053	2.62e-09	4.94e-07
W0T3X8	KLMA_10488	KLMA_10488	0.0243	1.26e-08	5.17e-07
W0T3Y2	KLMA_10493	KLMA_10493	0	0	1.01e-07
W0T3Y7	KLMA_10498	KLMA_10498	0	0	8.66e-07
W0T3Y8	KLMA_10670	KLMA_10670	0	0	3.89e-06
W0T3Z8	KLMA_10508	KLMA_10508	0	0	Inf
W0T403	KLMA_10513	KLMA_10513	0	0	8.95e-07
W0T423	KLMA_10705	KLMA_10705	0	0	2.54e-07
W0T427	KLMA_10710	KLMA_10710	0	0	9.6e-07
W0T443	KLMA_10735	KLMA_10735	0	0	1.64e-06
W0T453	KLMA_10176	KLMA_10176	0	0	6.31e-07
W0T462	KLMA_10186	KLMA_10186	0	0	1.28e-08
W0T470	KLMA_10765	KLMA_10765	0.997	3.32e-05	3.33e-05
W0T472	KLMA_10196	KLMA_10196	0	0	2e-06
W0T484	KLMA_10598	KLMA_10598	0	0	Inf
W0T491	KLMA_10216	KLMA_10216	0	0	Inf
W0T4A3	KLMA_10034	KLMA_10034	0.997	4.93e-05	4.95e-05
W0T4A4	KLMA_10231	KLMA_10231	0	0	Inf
W0T4C3	KLMA_10633	KLMA_10633	0	0	9.38e-07
W0T4E2	KLMA_20009	KLMA_20009	0	0	Inf
W0T4E3	KLMA_10653	KLMA_10653	0	0	1.96e-07
W0T4E8	KLMA_10658	KLMA_10658	0	0	9.56e-08
W0T4F1	KLMA_10079	KLMA_10079	0.467	1.01e-05	2.15e-05
W0T4F5	KLMA_10663	KLMA_10663	0.0145	8.24e-07	5.67e-05
