Accession	GeneName	repl1	repl2	repl3
P00817	YBR011C	3.46247274716658e-05	2.89022500602959e-05	3.17901843744254e-05
P00830	YJR121W	2.09256916987909e-05	1.78549798869722e-05	1.90826307667657e-05
P00890	YNR001C	4.05293571056146e-06	3.52517149945415e-06	3.76755093197793e-06
P00899	YER090W	2.08028080196932e-06	1.7079765454441e-06	1.87069770721868e-06
P00912	YDR007W	2.4463938436385e-08	2.05808454791844e-08	2.13643324989501e-08
P00924	YGR254W	8.84230552799711e-05	7.15275457897862e-05	8.1019672237364e-05
P00925	YHR174W	0.000355815270259481	0.000298233446379388	0.000330438762769921
P00927	YER086W	3.36037040504989e-06	2.73771081951831e-06	2.92018973265266e-06
P00931	YGL026C	4.21252526683606e-06	3.32640057872977e-06	3.68312649734764e-06
P00937	YKL211C	2.2984535141201e-06	1.86607421839729e-06	2.04296946841447e-06
P00942	YDR050C	0.000144744238091779	0.000116160982531856	0.000132022416130417
P00950	YKL152C	0.000135761991963377	0.000114612785423673	0.000119557234352562
P00958	YGR264C	2.22955598941677e-06	1.86607331172972e-06	1.9513195378472e-06
P01097	YDL181W	1.64989747335694e-07	1.44777572295619e-07	1.43645646593212e-07
P01119	YOR101W	6.98308062562656e-07	5.8864398109033e-07	6.2588796725959e-07
P01120	YNL098C	7.9295034608102e-07	6.6421997506145e-07	7.1365031000161e-07
P01123	YFL038C	3.85677786059821e-06	3.33104524979735e-06	3.4891731191685e-06
P02293	YDR224C	0.000111945795047526	9.86169772536348e-05	0.000102015809923212
P02309	"YBR009C; YNL030W"	3.28394473331171e-05	2.80729054073456e-05	3.06478897874568e-05
P02381	Q0140	1.90434836273723e-07	1.65998909020039e-07	1.85903706427613e-07
P02400	YDR382W	9.92961097316402e-05	8.33586480762577e-05	9.08463326274756e-05
P02406	YGL103W	4.49230609083344e-05	3.93620884044645e-05	4.35802009742756e-05
P02557	YFL037W	2.80350744186388e-06	2.36828379640036e-06	2.69769459852756e-06
P02829	YPL240C	1.50614792738292e-05	1.39385067665668e-05	1.41579413543407e-05
P02992	YOR187W	3.49630229597873e-06	2.89511122560081e-06	3.36693059878307e-06
P02994	"YPR080W; YBR118W"	0.000450293406037401	0.000376216066452508	0.000412305133930389
P03871	R0020C	1.68424104500176e-07	1.50708002785488e-07	1.75477738919451e-07
P03872	R0040C	2.99198165263075e-07	2.46775612636278e-07	3.10706550660972e-07
P03874	YHL038C	8.0518189480505e-08	6.82973553981303e-08	7.3615331780968e-08
P03962	YEL021W	8.09549130724344e-07	6.83256009284362e-07	7.28071175886475e-07
P03965	YJR109C	8.22687137022599e-06	6.6418896107389e-06	7.57724301651025e-06
P04037	YGL187C	2.4791154402853e-06	2.03174406171056e-06	2.1790907121844e-06
P04039	YLR395C	1.29264141203285e-05	1.1555171752083e-05	1.20516075948452e-05
P04046	YMR300C	3.51874866013119e-06	2.99644660803956e-06	3.17698971909086e-06
P04050	YDL140C	7.66239363399065e-07	6.46635887214698e-07	6.91109671889647e-07
P04051	YOR116C	2.35413421067284e-07	2.00263255240215e-07	2.12763952499117e-07
P04076	YHR018C	5.53233985122509e-06	4.50884279863112e-06	4.87940239400512e-06
P04147	YER165W	8.7139961738416e-06	7.352918583659e-06	7.85887178297603e-06
P04161	YDR408C	2.1291968298716e-06	1.77883892985954e-06	1.91661375033786e-06
P04173	YCL018W	9.73128225840853e-06	8.16343263724216e-06	8.68099375655083e-06
P04449	YGL031C	2.26518600743139e-05	1.9906560456189e-05	2.03236343784137e-05
P04456	YOL127W	8.43727256961869e-05	7.23524672499276e-05	7.74803883938251e-05
P04650	YJL189W	7.05000170752216e-06	6.60899802878085e-06	7.42705761789378e-06
P04786	YOL006C	1.05099808171297e-07	9.41135752507329e-08	9.95024796989279e-08
P04801	YIL078W	3.91363693851198e-06	3.35664570141435e-06	3.5730623411748e-06
P04802	YLL018C	4.54985612764898e-06	3.93832779065124e-06	4.17958239459232e-06
P04803	YDR268W	1.53950518289106e-07	1.33570596924159e-07	1.45531835882969e-07
P04806	YFR053C	7.47009259934574e-07	6.2780844809976e-07	6.76496351181252e-07
P04807	YGL253W	1.39265226007754e-05	1.17763078408627e-05	1.27655826183087e-05
P04817	YEL063C	3.45764695336506e-07	2.98168616263175e-07	3.07915766285781e-07
P04819	YDL164C	1.27138218508905e-07	1.11310851833479e-07	1.16454935466786e-07
P04821	YLR310C	7.14766212205361e-08	6.19212913963274e-08	6.49399484874722e-08
P04840	YNL055C	1.64923990415384e-05	1.41521805469564e-05	1.46284581124353e-05
P04912	YBL003C	3.36811285134835e-05	2.95656607978309e-05	2.97292285342792e-05
P05030	YGL008C	5.36143033390988e-05	4.51633385174197e-05	4.8929172561975e-05
P05066	YOR386W	1.93910719214042e-08	1.49217686132617e-08	1.90409804209773e-08
P05085	YML099C	4.1129095831568e-08	3.28266759625126e-08	3.63938278205769e-08
P05150	YJL088W	3.19046714200451e-06	2.68742951795482e-06	2.8126523966819e-06
P05316	YBR021W	1.57442576815242e-09	1.33266516678636e-09	1.42731919993407e-09
P05317	YLR340W	0.000120611083306926	0.00010373128485272	0.000109115164253469
P05318	YDL081C	0.000145456207932907	0.00013022007382235	0.000134120120352216
P05319	YOL039W	0.000129298246209035	0.000111127564719476	0.000117572959648295
P05373	YGL040C	3.74522042047362e-06	3.18298737077127e-06	3.39165393461678e-06
P05374	YGR157W	7.73597850594947e-07	6.65233508655942e-07	6.96395078902555e-07
P05375	YJR073C	2.37236855097974e-06	2.06072495372458e-06	2.2131840503297e-06
P05453	YDR172W	1.73102030341581e-06	1.50291546065536e-06	1.55315402829189e-06
P05626	YPL078C	3.52285626276745e-06	3.0764755677742e-06	3.16754624932239e-06
P05694	YER091C	0.000118269813159401	9.99170769525833e-05	0.000106997049817345
P05737	YGL076C	9.63427497519567e-05	8.02770596108077e-05	8.47743321411462e-05
P05738	YGL147C	6.93957773147086e-05	5.77306548368104e-05	5.80306923337001e-05
P05739	YLR448W	4.91627513989172e-05	4.2680133210279e-05	4.50686660180282e-05
P05740	YKL180W	9.02694840620365e-05	7.61202241351349e-05	7.99396619280941e-05
P05743	YLR344W	1.68031797091075e-05	1.59046897835868e-05	1.68017708947568e-05
P05744	YPL143W	5.3651018848279e-05	4.64605436164115e-05	4.96057599441036e-05
P05745	YMR194W	1.47835098376386e-05	1.3415580777845e-05	1.37094940011666e-05
P05747	YFR032C-A	1.9127142823967e-06	1.36787188691691e-06	1.5877770981383e-06
P05748	YLR029C	5.76543135714548e-05	5.0293154076234e-05	5.09917090560894e-05
P05749	YLR061W	2.58062406310659e-05	2.44730189453353e-05	2.64269928604252e-05
P05750	YNL178W	0.000111988785991439	9.65488184470784e-05	0.000103397214109649
P05755	YBR189W	8.64185314845837e-05	8.02098315353045e-05	8.94974033270767e-05
P05756	YDR064W	8.57305081594871e-05	7.44538762538631e-05	8.00585033506096e-05
P05759	YLR167W	3.21123094876768e-05	2.95819822939315e-05	2.92704613727405e-05
P05986	YKL166C	1.61077170261898e-07	1.39623878403216e-07	1.43246955957642e-07
P06100	YDL165W	7.29745708196639e-07	6.09379792076327e-07	6.43122747043533e-07
P06101	YDR168W	8.02871184942577e-07	6.84399303999276e-07	7.28538551266604e-07
P06102	YIL038C	2.0028245822765e-07	1.72408806082175e-07	1.8534357536525e-07
P06103	YOR361C	2.43856464753547e-06	2.10173821863753e-06	2.22396276966239e-06
P06104	YGL058W	3.23584894034814e-07	2.73910136208769e-07	2.76511458277086e-07
P06105	YJL080C	2.88934474867903e-06	2.47834620079432e-06	2.59518306117354e-06
P06106	YLR303W	0.000134132497832583	0.000118931874072933	0.000127984985452664
P06168	YLR355C	5.0928893821862e-05	4.43619814830016e-05	4.6934974882116e-05
P06169	YLR044C	0.000208263323575106	0.000170496722637407	0.000187475545338119
P06174	YOR278W	1.44158962915586e-07	1.22776558728797e-07	1.28544002351649e-07
P06182	YAL039C	2.97445402815563e-07	2.58820728917479e-07	2.91781847326208e-07
P06197	YPR113W	2.27603555760967e-06	1.99017587799185e-06	2.08244820429209e-06
P06208	YNL104C	2.85389044895304e-06	2.43549871623165e-06	2.64265595756533e-06
P06242	YDL108W	1.0533164017169e-07	9.39376501808887e-08	9.74941927918803e-08
P06243	YDL017W	3.62898565616465e-07	3.19150075544844e-07	3.31336711036358e-07
P06244	YJL164C	6.34823012375317e-08	5.42445519555381e-08	5.99786748942198e-08
P06245	YPL203W	1.57024454785326e-07	1.17726816895458e-07	1.29851767254099e-07
P06633	YOR202W	1.01091245854781e-06	8.59118294787722e-07	9.49908027381257e-07
P06634	YOR204W	5.77485931983065e-06	5.08040950533206e-06	5.35950276759542e-06
P06700	YDL042C	6.29756204682671e-08	4.49853343474702e-08	5.57920827789373e-08
P06701	YLR442C	8.65701156241922e-08	5.42051065265066e-08	6.11505235864565e-08
P06704	YOR257W	2.974384993974e-07	2.54384948609906e-07	2.73563944172592e-07
P06738	YPR160W	5.08987263993403e-08	4.30844675339575e-08	5.0439435810111e-08
P06773	YHR144C	1.09657328892545e-07	9.32045631526733e-08	9.85879941248883e-08
P06775	YGR191W	1.98072808139348e-07	1.67659572964384e-07	1.76615379228185e-07
P06776	YOR360C	1.64784589524145e-07	1.45139637064589e-07	1.54328676020945e-07
P06778	YML032C	1.12055030141136e-07	9.46710309377463e-08	9.95082290912652e-08
P06779	YJR052W	1.08208701603693e-07	8.87539346865725e-08	9.71117433490124e-08
P06780	YPR165W	3.2753681606454e-06	2.84186259532079e-06	3.05278594074535e-06
P06781	YNL090W	1.02324917251539e-07	9.08266965257338e-08	9.90769791454136e-08
P06782	YDR477W	3.53818837011907e-07	2.73967637846397e-07	3.07100223469054e-07
P06785	YOR074C	2.83338996567265e-07	2.47199187831035e-07	2.60002223148645e-07
P06786	YNL088W	2.50682291726595e-07	2.2329649083919e-07	2.30584399683296e-07
P06787	YBR109C	3.08119400684244e-06	2.58766883815935e-06	2.71350845197045e-06
P06838	YML095C	3.28578305243761e-08	2.88304004168449e-08	3.11237961038724e-08
P06839	YER171W	6.28506853033108e-08	5.26234815181135e-08	5.62982790039889e-08
P06843	YER161C	5.66519254613486e-08	4.9947367791023e-08	5.16573623173314e-08
P06844	YDR392W	9.66053558361877e-08	8.45328733397853e-08	9.64322820205373e-08
P07143	YOR065W	1.80543442709249e-06	1.7444972646129e-06	1.76409108114387e-06
P07149	YKL182W	5.67092778283624e-06	4.84832233075566e-06	5.09965753831978e-06
P07170	YDR226W	1.75662093585278e-05	1.43725512705449e-05	1.53923554544456e-05
P07172	YIL116W	3.18415222264375e-06	2.69801210485593e-06	2.91292615339057e-06
P07213	YNL121C	1.2033306706002e-06	1.03636156019866e-06	1.06851792990962e-06
P07236	YKL194C	1.57903717683678e-07	1.30403777813086e-07	1.43926366610997e-07
P07244	YGL234W	1.38714227389741e-05	1.1517351318191e-05	1.25997319896209e-05
P07245	YGR204W	1.11000748943139e-05	8.93376875446842e-06	9.73806523773359e-06
P07246	YMR083W	9.99580153651376e-06	8.17651185046751e-06	9.07784319304625e-06
P07251	YBL099W	2.30561804498705e-05	1.93757843924736e-05	2.07088506784177e-05
P07253	YBR120C	3.43710323655774e-07	3.02601127704526e-07	3.24070184616127e-07
P07255	YDL067C	3.82246286152213e-06	3.37201852535045e-06	3.51499424591977e-06
P07256	YBL045C	4.21623462326039e-06	3.59768003120613e-06	3.6723850962475e-06
P07257	YPR191W	6.49144942961473e-06	5.81138362141942e-06	5.97726435946247e-06
P07258	YOR303W	2.90904197098898e-06	2.7022087325862e-06	2.58000609713292e-06
P07259	YJL130C	8.62402039422208e-06	7.2177798154388e-06	7.89766358174729e-06
P07260	YOL139C	1.03213047877739e-05	7.89846124386832e-06	9.10564787404701e-06
P07261	YPL075W	1.81302638622343e-08	1.56212325572257e-08	1.83725344057198e-08
P07262	YOR375C	6.01954340153869e-05	5.17995742269515e-05	5.57586269084877e-05
P07263	YPR033C	2.1027815837727e-06	1.80892791394667e-06	1.94493280344389e-06
P07264	YGL009C	6.54783092527803e-06	5.68387585125668e-06	5.84523127336014e-06
P07266	YIR021W	1.73368860443315e-08	1.24875510559796e-08	1.48054710846415e-08
P07267	YPL154C	1.19990260811997e-06	9.84677176741075e-07	1.09325745092514e-06
P07269	YDL106C	1.5136751547054e-07	1.28906571785156e-07	1.39434939050226e-07
P07270	YFR034C	1.95453150088435e-07	1.50297110601202e-07	1.62550348347287e-07
P07271	YML061C	2.94070982163846e-08	2.55676170619276e-08	2.7326225880379e-08
P07273	YGL043W	9.04300362354099e-07	7.61133013930913e-07	7.84636331136963e-07
P07274	YOR122C	4.54999165783737e-06	3.40779664187717e-06	3.74032335005164e-06
P07275	YHR037W	7.90951150778521e-07	7.04006727894609e-07	7.09785982284058e-07
P07276	YGR258C	4.75024858768281e-08	3.94677347903422e-08	4.33507094018994e-08
P07277	YMR208W	3.70663742142392e-07	3.13762650743103e-07	3.41954934146425e-07
P07278	YIL033C	1.16936342941451e-06	1.00585875664547e-06	1.06967318418886e-06
P07280	YOL121C	0.000122757730223355	0.000105501644866582	0.000112870384637563
P07283	YFL045C	9.16742924430804e-06	8.21684382262346e-06	8.50393045465998e-06
P07284	YDR023W	3.97112047876348e-06	3.38203266993441e-06	3.58159699203144e-06
P07285	YDR354W	6.99545658254751e-07	5.57346592448477e-07	6.30469692617665e-07
P07286	YBR243C	6.53472749514935e-08	5.52594236749352e-08	6.07181734414861e-08
P07342	YMR108W	8.32208066147027e-06	7.0087282172669e-06	7.31571721053884e-06
P07347	YHR013C	6.54465037822657e-07	5.25121871592953e-07	5.67060196584765e-07
P07390	YNR045W	8.02931571168856e-09	6.66878263843739e-09	7.09285037925113e-09
P07560	YFL005W	3.58525017244538e-06	3.03156982586366e-06	3.21324392820836e-06
P07702	YBR115C	2.91679956518529e-06	2.4464371885146e-06	2.62274660661435e-06
P07703	YPR110C	1.51378660840484e-06	1.27472716609798e-06	1.32710219259152e-06
P07806	YGR094W	4.9879856686008e-06	4.21787255063299e-06	4.57205728089501e-06
P07807	YOR236W	1.866607702053e-07	1.57677691003757e-07	2.04920164037915e-07
P07834	YFL009W	3.25874434785943e-08	2.58491737285093e-08	2.82858695871249e-08
P07866	YAL024C	3.27142663958802e-08	2.8519773043535e-08	2.99317666998053e-08
P07884	YOR274W	7.14372670565552e-07	6.36603340051194e-07	6.51259864540142e-07
P07991	YLR438W	3.73088672847604e-07	3.39434817300335e-07	3.28415208183873e-07
P08004	YNL192W	1.67822549116571e-07	1.38777183014845e-07	1.49694748686984e-07
P08018	YJL128C	9.83390952375205e-08	8.34952352371891e-08	8.85120991938129e-08
P08067	YEL024W	1.08435762637775e-06	9.97143518113387e-07	1.01921070883482e-06
P08417	YPL262W	1.94609122574571e-06	1.69861841231234e-06	1.74924285941889e-06
P08425	YPR047W	1.32739817800308e-07	1.11248817618836e-07	1.24724917148279e-07
P08432	YKL184W	1.89245562568459e-07	1.63505514388794e-07	1.69765057497235e-07
P08456	YER026C	1.45154232445224e-06	1.1931608647106e-06	1.3435821444786e-06
P08465	YNL277W	6.4649655253421e-07	5.32987547270446e-07	5.60347577262929e-07
P08466	YJL208C	3.12929707249143e-07	2.6998881651347e-07	2.91421266735256e-07
P08518	YOR151C	8.07210700996845e-07	6.82010089946854e-07	7.20507395606152e-07
P08524	YJL167W	1.15290318628409e-05	1.00444479441014e-05	1.06045351132427e-05
P08525	YJL166W	3.96645654223133e-07	3.29313372652782e-07	3.47588373652767e-07
P08536	YJR010W	8.8890657630406e-06	7.77018343149481e-06	8.17310869073152e-06
P08539	YHR005C	2.65890362354153e-07	2.25757723013148e-07	2.46961895706278e-07
P08566	YDR127W	2.66901121662009e-06	2.22694038013544e-06	2.44907657748855e-06
P08593	YPR134W	1.79051886707407e-08	1.43311111400168e-08	1.48762417683957e-08
P08638	YLR451W	4.36389371746661e-08	3.56684074257749e-08	3.98947143755115e-08
P08678	YJL005W	7.33710519835743e-07	6.05250923172008e-07	6.41673418763788e-07
P08679	YCR005C	1.49930782809224e-06	1.25126860988397e-06	1.34278437038741e-06
P08964	YHR023W	1.23847678742077e-06	1.0053760074389e-06	1.1268412456584e-06
P09032	YOR260W	3.58529198093728e-07	3.06304053147718e-07	3.24691788573354e-07
P09064	YPL237W	2.80317408215224e-06	2.43790303058865e-06	2.586873006076e-06
P09232	YEL060C	6.9021226537413e-07	5.87752511950976e-07	6.10092288254885e-07
P09368	YLR142W	5.29221551748692e-08	4.51482119153683e-08	4.82045879761976e-08
P09436	YBL076C	3.46606833530436e-06	2.92510380809541e-06	3.17344533193401e-06
P09440	YBR084W	9.3413598042812e-07	8.0891283935743e-07	8.45099788052704e-07
P09457	YDR298C	3.46974699861102e-06	2.92864139410973e-06	2.96009172712916e-06
P09547	YPL016W	1.40202132957304e-07	1.19507435294328e-07	1.28988725623696e-07
P09620	YGL203C	1.26766275732022e-07	1.05703901552326e-07	1.17989671763779e-07
P09624	YFL018C	2.17550499620832e-06	1.84714124272601e-06	1.99035377468508e-06
P09733	YML085C	1.36900008483257e-06	1.14006914747959e-06	1.21974989294035e-06
P09734	YML124C	4.29907340636889e-07	3.66913663337617e-07	3.93364585167028e-07
P09798	YKL022C	9.70907968479954e-08	7.48100173911055e-08	8.27240575364531e-08
P09880	YJL087C	1.64806247000986e-07	1.36568011318786e-07	1.49383540403127e-07
P09938	YJL026W	3.26664230244596e-06	2.94180800040666e-06	3.02955467385632e-06
P09950	YDR232W	6.86366455394783e-07	5.86279878484257e-07	6.25968976003869e-07
P09959	YLR182W	1.39921934480629e-07	1.20264439715588e-07	1.2840592171281e-07
P0C074	YNL138W-A	1.85051710418707e-07	1.64126013463247e-07	1.7749676865054e-07
P0C0W1	YJL190C	4.97889517068149e-05	4.66190636836609e-05	4.26775492677614e-05
P0C2H6	YHR010W	0.000138478759333789	0.00011504926702145	0.000123570330482915
P0C2H8	YDL075W	4.52809636721549e-05	3.7796749260003e-05	4.1086975865686e-05
P0C2H9	YLR406C	1.2360443846912e-05	1.03471298255987e-05	1.12384572404735e-05
P0C5N3	YGL041W-A	1.27006795124038e-07	9.26357157739019e-08	9.9024435998002e-08
P0CE41	YLR256W	2.55562761034276e-08	2.20065795123899e-08	2.30499173753746e-08
P0CH08	YIL148W	2.31028768317241e-06	2.20829865516225e-06	2.38235309273411e-06
P0CS90	YJR045C	1.4205805519095e-05	1.26262439071257e-05	1.29455050462843e-05
P0CT04	YNL015W	2.06590434511775e-06	1.81619926096331e-06	1.63874330725121e-06
P0CX15	YPL283C	7.27569136778763e-08	6.7664850140566e-08	6.86539681874616e-08
P0CX24	YOR312C	0.00010545862054746	8.91886583213514e-05	9.63095626896713e-05
P0CX25	YPR043W	3.81615449753436e-05	3.377907204027e-05	3.48468735303735e-05
P0CX28	YHR141C	1.38921906726579e-05	1.20289654146784e-05	1.22273308762187e-05
P0CX29	YGR118W	2.12585021250693e-05	1.78079768288281e-05	1.95239445063767e-05
P0CX31	YER074W	7.28365259828795e-05	6.55290510965132e-05	6.83781582334224e-05
P0CX33	YLR287C-A	9.26428811179134e-06	7.376380011437e-06	7.88460421370126e-06
P0CX36	YHR203C	5.83073451702816e-05	5.13437135852247e-05	5.37050701688304e-05
P0CX38	YBR181C	8.67167030071923e-05	7.63894468166739e-05	8.54673693884419e-05
P0CX40	YER102W	0.000155508485398403	0.000134310510045602	0.000141258252783307
P0CX41	YBL087C	3.38562184259106e-05	2.994754106967e-05	3.10137159879247e-05
P0CX43	YPL220W	5.39888258061212e-05	4.73351619109289e-05	4.87401101963017e-05
P0CX46	YIL018W	8.05159394687354e-05	7.14393142849885e-05	7.6056323546169e-05
P0CX47	YDR025W	8.76759079949353e-05	7.84433413796242e-05	8.08252308761754e-05
P0CX49	YOL120C	8.89867162206136e-05	7.69952546221203e-05	7.96943151021083e-05
P0CX51	YMR143W	0.000124448013362674	0.00010643711808614	0.00011269199708286
P0CX53	YEL054C	9.8667497668466e-05	8.47136056026255e-05	8.91719306488812e-05
P0CX56	YML026C	0.00010886135885683	9.61398067121453e-05	0.000100312915722249
P0CX82	YBR084C-A	8.63139635908484e-05	7.54542043369515e-05	7.90451617462134e-05
P0CX84	YDL191W	3.61951761301498e-05	3.16719731824127e-05	3.31943093594156e-05
P10080	YHL034C	1.90071839864573e-06	1.66404338294413e-06	1.75348022241516e-06
P10081	"YKR059W; YJL138C"	3.05402264331877e-05	2.61146669597689e-05	2.7854402828051e-05
P10127	YGL256W	1.07639741581003e-07	8.01169972030971e-08	1.02707962961288e-07
P10356	YER152C	9.7279634691762e-08	8.2839201983233e-08	8.66887340918914e-08
P10363	YIR008C	1.74856498442669e-07	1.46260809240512e-07	1.58346240621339e-07
P10507	YLR163C	5.79143108726449e-07	5.13725110188356e-07	5.2558001093375e-07
P10566	YJL133W	1.50859696434721e-08	1.10374188083495e-08	1.22418495638943e-08
P10591	YAL005C	1.7167663135675e-05	1.49480901972894e-05	1.57127092135884e-05
P10592	YLL024C	5.61049239715803e-05	4.81889615330537e-05	5.12910679114769e-05
P10614	YHR007C	2.0849499292025e-06	1.79342460239733e-06	1.90720435883738e-06
P10622	YDL130W	0.000228004460403775	0.000191426885125204	0.000204595442295338
P10659	YLR180W	3.42464454705082e-05	2.72491644379303e-05	2.98905248144374e-05
P10662	YDR347W	4.1617797439884e-07	3.64271464368721e-07	3.80003802282879e-07
P10663	YPR166C	3.33230818450459e-07	2.99965325821746e-07	3.1087060073303e-07
P10664	YBR031W	4.66670271498467e-05	4.20919011790155e-05	4.15495737521348e-05
P10823	YER020W	3.37017427350037e-07	2.77481344876919e-07	3.00420614739759e-07
P10834	YGR222W	1.0732382525191e-07	1.0030641142415e-07	1.04065763057928e-07
P10849	YDL044C	7.93036692470905e-08	6.67862579406638e-08	7.01408699326357e-08
P10862	YCR066W	4.05060822141134e-08	2.695317103924e-08	3.26767350792491e-08
P10869	YER052C	5.19755725723392e-06	4.19677269555735e-06	4.56385878126443e-06
P10961	YGL073W	7.94168565486666e-08	6.7221946030385e-08	7.17726366977089e-08
P10962	YAL025C	5.72427282099976e-07	5.02764357702148e-07	5.20094360220702e-07
P10964	YOR341W	1.31415158425307e-06	1.10694422244025e-06	1.18538753897792e-06
P11075	YDR170C	4.16480072390788e-07	3.55789560233934e-07	3.74078596774944e-07
P11076	YDL192W	1.16149166912263e-05	9.87119446228263e-06	1.00235231733343e-05
P11154	YGL062W	5.15402353902849e-06	4.30474589603244e-06	4.58728066652201e-06
P11325	YLR382C	1.27920074390126e-07	1.12666957311474e-07	1.18010811413611e-07
P11353	YDR044W	3.86486059747091e-07	3.17341611602735e-07	3.56208556085346e-07
P11412	YNL241C	4.27801248099664e-06	3.56318292962339e-06	3.80052382097206e-06
P11433	YAL041W	5.84309298146806e-08	5.00177883342837e-08	5.27532128039332e-08
P11484	YDL229W	6.80969608850918e-05	5.62972183454491e-05	5.94841651346888e-05
P11491	YDR481C	5.18467935753303e-07	4.39738657563669e-07	4.6859398831615e-07
P11632	YPR052C	4.01341644225402e-06	3.38720049977182e-06	3.51584401744642e-06
P11633	YBR089C-A	2.87413772782152e-06	2.43532904160191e-06	2.63711186737878e-06
P11655	YNR026C	1.36714634437526e-07	1.21460484363721e-07	1.27640683465538e-07
P11709	YCL029C	9.87220745846906e-08	8.03410326444274e-08	8.90407416306042e-08
P11745	YMR235C	1.42207245035408e-06	1.24524884916294e-06	1.27577442024978e-06
P11747	YML098W	1.79215163154792e-07	1.52774761129667e-07	1.60330153242091e-07
P11792	YHR205W	2.26655855301602e-07	1.95652155488407e-07	2.08256333489929e-07
P11914	YHR024C	1.14471522543335e-06	9.3284418700215e-07	1.00825577188921e-06
P11938	YNL216W	4.62174755032169e-07	3.63691103748421e-07	4.00159813431328e-07
P11972	YLR452C	1.1297152773974e-07	9.55349932418564e-08	9.98878175395171e-08
P11978	YDR227W	4.83855093507854e-08	4.0215375333788e-08	5.6883806948492e-08
P11986	YJL153C	4.09087205740155e-08	3.6336852325513e-08	3.8833963102337e-08
P12383	YGL013C	1.63236994794117e-07	1.32098407514874e-07	1.43668242206109e-07
P12385	YBR143C	2.98525390383848e-06	2.6487956877815e-06	2.69788661450678e-06
P12611	YOR043W	2.31355834295609e-07	2.0599423220329e-07	2.13829895756959e-07
P12612	YDR212W	2.39373163264424e-06	1.9599228700153e-06	2.0990415721834e-06
P12630	YIL015W	2.78195891983979e-07	2.11644134393028e-07	2.31933033132041e-07
P12683	YML075C	6.87138684359466e-07	5.89485056076085e-07	6.10025251897364e-07
