Accession	GeneName	repl1	repl2	repl3
D6VTK4	YFL026W	6.58118268206164e-07	5.33394905356048e-07	5.88781085610288e-07
D6W196	YNL083W	4.63008025503763e-08	3.87605789750811e-08	4.15103234828041e-08
O13297	YPL228W	2.48012277236415e-07	2.14132956828248e-07	2.37613396294061e-07
O13329	YDR110W	1.20601739642688e-07	9.87488595234602e-08	1.0997092274443e-07
O13516	YPL081W	2.86899445611575e-06	2.79384323549223e-06	3.01210728367802e-06
O13539	YHR167W	1.85562843776694e-07	1.61006937747669e-07	1.75060792903639e-07
O13547	YLR390W-A	1.08977265415838e-06	1.06081555836094e-06	9.59302493362086e-07
O13563	YLR421C	1.35666974833063e-06	1.15677773182328e-06	1.22092073714845e-06
O13585	YPR089W	2.42518287839573e-07	1.91018060256558e-07	2.10436009703754e-07
O14455	YPL249C-A	4.76712208168849e-05	4.25495283201221e-05	4.72454107434494e-05
O14467	YOR298C-A	8.23825775902045e-06	7.2710333750618e-06	7.32119332720182e-06
O43137	YBR085C-A	1.20755597710492e-07	9.18498744307149e-08	9.53020706262966e-08
O60200	YKL053C-A	1.02458796116116e-06	8.34288414564703e-07	8.92670170588839e-07
O74700	YEL020W-A	7.40190405709428e-06	6.13788053599959e-06	6.08085286995225e-06
O75012	YDL045W-A	3.58668897963284e-07	3.03601248311482e-07	3.03771082948299e-07
P00044	YJR048W	5.08438443905681e-06	4.75217528402503e-06	4.76844515274636e-06
P00127	YFR033C	3.60921596447287e-06	3.08186314965762e-06	3.39480413159552e-06
P00128	YDR529C	5.99973936007906e-06	5.20549574383501e-06	5.77998850399611e-06
P00175	YML054C	3.69090261072306e-07	3.418314840791e-07	3.38852407100002e-07
P00330	YOL086C	0.000350490426068777	0.000286758808020133	0.000317395581760276
P00358	YJR009C	8.02996030001687e-05	6.424286484802e-05	7.53922212624608e-05
P00359	YGR192C	0.000294902426233838	0.000250347042892393	0.000268796317624214
P00360	YJL052W	1.28447036609514e-06	1.00512995154246e-06	1.16316733881639e-06
P00410	Q0250	3.62162049111769e-06	3.07187323812011e-06	3.27982831382703e-06
P00420	Q0275	1.58576383932349e-07	1.32187582395685e-07	1.37066379966459e-07
P00424	YNL052W	2.06355672087217e-06	1.82806493843447e-06	1.87872412284037e-06
P00427	YHR051W	2.63112431223816e-06	2.06935691848083e-06	2.18014863499158e-06
P00431	YKR066C	3.04798056532874e-07	2.59587470019107e-07	2.75463732106896e-07
P00445	YJR104C	3.61176854250633e-05	2.92851202320353e-05	3.22059842037378e-05
P00447	YHR008C	1.17954687415122e-06	1.04989584780144e-06	1.07371354144524e-06
P00498	YER055C	8.16391101806353e-06	6.73377411099784e-06	7.13681763709228e-06
P00546	YBR160W	1.8234093435231e-06	1.54197912790457e-06	1.63987118313665e-06
P00549	YAL038W	0.000181103881122739	0.000154385770491656	0.000168982950760672
P00560	YCR012W	0.000251953204760318	0.00020450397553431	0.000232176154112579
P00724	YIL162W	2.47832771211244e-07	2.10216441628584e-07	2.27048962280899e-07
P00729	YMR297W	2.89106416269218e-07	2.43976356544337e-07	2.68690950178939e-07
P00812	YPL111W	2.22746097658816e-07	1.81543055741855e-07	1.91469070069413e-07
P00815	YCL030C	1.05137866547891e-05	8.56011468277671e-06	9.45443431210117e-06
