Organism;OUR;CER;RQ;qGlucose;qEthanol;qAcetate;qGlycerol;qPyruvate;qSuccinate;gRate
Sce;2.919;24.502;8.638;18.79;26.97;0.566;1.469;0.163;0.0365;0.424
Spo;1.573;13.333;8.650;8.945;11.185;0.106;1.185;0.0942;0.0312;0.216
Sstip;5.300;6.605;1.277;4.5;0;0;0;0.015;0.0327;0.466
Kma;10.214;11.188;1.058;5.558;0;0.4783;0;0.034;0;0.441
