Timepoint;Time;OD_repl1;OD_repl2;OD_repl3;CDW_repl1;CDW_repl2;CDW_repl3;Glucose_repl1;Glucose_repl2;Glucose_repl3;Glycerol_repl1;Glycerol_repl2;Glycerol_repl3;Acetate_repl1;Acetate_repl2;Acetate_repl3;Ethanol_repl1;Ethanol_repl2;Ethanol_repl3;Pyruvate_repl1;Pyruvate_repl2;Pyruvate_repl3;Succinate_repl1;Succinate_repl2;Succinate_repl3
t0;0;0,128;0,131;0,128;;;;11,1896;11,352;11,4143;0;0,0214;0;0;0;0;0,0764;0,0554;0,1327;0;0;0;0;0;0
t2;3;0,322;0,314;0,31;0,18;-0,12;0,12;10,9536;11,0948;10,9781;0;0,0214;0;0,0262;0,026;0,019;0,034;0,0445;0,1215;0,0008;0,0008;0,0008;0;0;0
t3;4;0,464;0,476;0,468;0,3;0,28;0,2;10,7688;10,8979;10,8526;0,0039;0,0183;0,0054;0,0407;0,0338;0,0381;0,0302;0,0582;0,0553;0,002;0,0019;0,002;0;0;0
t4;4,75;0,685;0,69;0,7;0,3;0,36;0,42;10,5286;10,5692;10,5469;0,0059;0,0197;0,0071;0,0501;0,0439;0,0488;0,058;0,0188;0,0933;0,0027;0,0028;0,0028;0,0011;0,0012;0,0013
t6;6,5;1,43;1,48;1,47;0,66;0,74;0,84;9,7228;9,6827;9,6677;0,0101;0,0192;0,008;0,0884;0,0767;0,0746;0,0204;0,0186;0,0186;0,0056;0,0054;0,006;0,0021;0,0025;0,0031
t7;7,25;2;2,1;2,1;1;0,96;0,82;9,014;9,0388;8,9886;0,0117;0,0215;0,0106;0,1078;0,0985;0,0891;0,015;0,0109;0,0143;0,009;0,009;0,0075;0,0065;0,0067;0,0057
t8;8,25;2,98;3,14;3,1;1,52;1,66;1,6;7,7696;7,6662;7,6404;0,0152;0,0189;0,0136;0,1229;0,1066;0,0994;0,0138;0,0193;0,0245;0,0123;0,0112;0,0127;0,0114;0,0082;0,0118
t9;9;4,28;4,44;4,48;2,12;2,1;2,3;6,3203;6,1443;6,1979;0,014;0,0225;0,0168;0,1205;0,1101;0,1021;0,0167;0,0227;0,021;0,0157;0,0166;0,0169;0,0151;0,0175;0,0189
t10;10;6,6;7;6,95;3,16;3,46;3,52;3,9629;3,5379;3,6277;0,0176;0,0199;0,0179;0,0708;0,045;0,0473;0,0168;0,0183;0,0583;0,0243;0,0252;0,0253;0,0288;0,0303;0,0316
t11;10,75;8,95;9,55;9,4;4,5;4,5;4,5;1,1324;0,5858;0,6505;0,0171;0,0143;0,0154;0,0237;0,0097;0,0089;0,0278;0,0298;0,0337;0,0296;0,0294;0,029;0,0374;0,0379;0,0309
t12;11,75;10,25;10,45;10,5;4;4,5;4,85;0;0;0;0,001;0;0,0009;0,0015;0,001;0,0023;0,018;0,0167;0,0326;0,0288;0,0275;0,0277;0,0371;0,0381;0,0377
t13;12,75;10,55;10,05;10,35;5,1;5;5,05;0;0;0;0,0007;0,0006;0;0,001;0,0006;0;0,0192;0,024;0,0465;0,0254;0,0245;0,0245;0,0284;0,0393;0,0385
t14;15,25;10,15;10,2;10,05;5,3;5;5,1;0;0,0316;0,0233;0;0,0009;0;0;0;0;0,0149;0;0;0,0199;0,0183;0,0179;0,0391;0,0267;0,0236
