Timepoint;Time;OD_repl1;OD_repl2;OD_repl3;CDW_repl1;CDW_repl2;CDW_repl3;Glucose_repl1;Glucose_repl2;Glucose_repl3;Glycerol_repl1;Glycerol_repl2;Glycerol_repl3;Acetate_repl1;Acetate_repl2;Acetate_repl3;Ethanol_repl1;Ethanol_repl2;Ethanol_repl3;Pyruvate_repl1;Pyruvate_repl2;Pyruvate_repl3;Succinate_repl1;Succinate_repl2;Succinate_repl3
t0;0;0,098;0,102;0,107;;;;21,861;21,9199;21,679;0;0;0;0;0;0;0,0294;0;0,0274;0;0;0;0;0;0
t1;3;0,19;0,198;0,196;0,06;0,14;0,08;21,3781;21,83;21,2664;0,041;0,0509;0,0463;0;0,0142;0,0136;0,14;0,1564;0,1635;0,0034;0,0033;0,0034;0;0;0
t2;4,75;0,296;0,312;0,3;0,18;0,2;0,24;21,1089;21,1592;20,7745;0,091;0,0914;0,0926;0,024;0,0191;0,0238;0,3147;0,2987;0,2985;0,0061;0,0058;0,0061;0;0;0
t3;6,25;0,41;0,41;0,41;0,36;0,38;0,5;20,1391;20,3456;20,0687;0,1391;0,146;0,1457;0,0273;0,0318;0,0306;0,5125;0,488;0,5099;0,0093;0,0087;0,009;0,0012;0,0012;0,0012
t4;7,5;0,525;0,525;0,525;0,3;0,28;0,34;19,8781;19,7296;19,4705;0,1999;0,2007;0,2004;0,0283;0,0295;0,029;0,6767;0,6806;0,7284;0,0125;0,012;0,0124;0,0018;0,0019;0,0017
t5;9,75;0,89;0,88;0,89;0,52;0,46;0,78;17,6579;17,4639;17,2915;0,3489;0,3438;0,3476;0,0458;0,0408;0,0443;1,2829;1,242;1,2995;0,0202;0,0207;0,0204;0,0052;0,0065;0,006
t6;11,16666667;1,22;1,22;1,24;0,88;0,88;0,92;15,8374;16,3472;15,7751;0,4799;0,4869;0,4858;0,0481;0,0442;0,0476;1,9616;1,8179;2,0205;0,0287;0,0289;0,0288;0,0062;0,0087;0,0062
t7;13,5;1,92;1,9;1,96;1,42;1,46;1,78;11,4665;11,7001;11,2432;0,768;0,7586;0,7714;0,0687;0,0632;0,0652;3,2206;3,3563;3,3032;0,0534;0,0508;0,055;0,0253;0,0212;0,0427
t8;15;2,62;2,6;2,64;1,94;1,94;2,02;7,4085;7,405;7,1553;1,0197;0,9962;1,013;0,079;0,0753;0,0707;4,4701;4,5595;4,9652;0,0772;0,0733;0,0749;0,0342;0,0189;0,018
t9;16;3,38;3,34;3,42;2,22;2,4;2,42;4,1937;3,9901;4,4026;1,2338;1,2078;1,2869;0,0853;0,0792;0,0843;5,6918;5,7531;6,0114;0,0961;0,0932;0,0986;0,0234;0,0235;0,0229
t10;17;4;3,96;4,04;2,866666667;2,866666667;2,533333333;0,8832;0,6579;0,6265;1,4584;1,3179;1,3586;0,1042;0,0989;0,0944;6,8057;7,0505;7,0109;0,1195;0,1057;0,1107;0,0536;0,0684;0,0291
t11;18;4,3;4,48;4,42;2,9;3,133333333;2,833333333;0,0606;0,0584;0,0569;1,348;1,2911;1,3094;0,1721;0,1749;0,1785;6,7242;6,8782;6,858;0,1102;0,1023;0,1066;0,0345;0,0405;0,0367
t12;19;4,38;4,6;4,52;3,066666667;2,933333333;3,3;0,0407;0,0435;0,0436;1,2519;1,192;1,2266;0,2193;0,2301;0,2333;6,4596;6,5591;6,4318;0,106;0,0967;0,1026;0;0;0
