Parameter;repl1;repl2;repl3;organism;mean;sd
Yxs;0.123646075473564;0.122780738157798;0.146651219404889;Sce;0.131026011012084;0.0135387427465206
Yxs;0.129775747508306;0.133425841917062;0.140311491511155;Spo;0.134504360312174;0.00535003522136432
Yxs;0.44292864419542;0.422386483632524;0.456975734588493;Kma;0.440763620805479;0.017395964047244
Yxs;0.561829316253722;0.573263013070397;0.59140102903779;Sstip;0.575497786120636;0.0149119820005731
gRate;0.41313;0.43657;0.41842;Sce;0.422706666666667;0.0122939022825681
gRate;0.22454;0.21923;0.20502;Spo;0.216263333333333;0.0100924939104927
gRate;0.44954;0.42759;0.44624;Kma;0.441123333333333;0.0118357861307702
gRate;0.46499;0.4661;0.46809;Sstip;0.466393333333333;0.00157067925857997
Ptot;0.526511468;0.446126383;0.476327579;Sce;0.482988476666667;0.0406043857349014
Ptot;0.323023467;0.370122217;0.296523312;Spo;0.329889665333333;0.0372767784815729
Ptot;0.364441271;0.386171605;0.367812889;Kma;0.372808588333333;0.0116948541166484
Ptot;0.320718791;0.438759556;0.32447428;Sstip;0.361317542333333;0.0670930326857301
