Parameter;repl1;repl2;repl3;organism;mean;sd
OUR;2,3486;;3,48992;Sce;2,91926;0,807035112
OUR;1,56816;;1,57753;Spo;1,572845;0,006625591
OUR;10,675;;9,75311;Kma;10,214055;0,651874671
OUR;5,04684;6,0762;5,95572;Sstip;5,69292;0,562755171
CER;22,10238;;27,4512;Sce;24,77679;3,782186893
CER;13,91742;;13,29015;Spo;13,603785;0,443546871
CER;10,98125;;10,60491;Kma;10,79308;0,266112566
CER;6,0749;6,63708;6,86829;Sstip;6,526756667;0,408038419
RQ;9,410874564;;7,865853659;Sce;8,638364111;1,092494759
RQ;8,875;;8,424657534;Spo;8,649828767;0,318440211
RQ;1,028688525;;1,087336245;Kma;1,058012385;0,0414702
RQ;1,203703704;1,092307692;1,153225806;Sstip;1,149745734;0,055779486
